# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 24 14:02:02 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_dist,sy_vmag
51 Peg b,51 Peg,b,1,1,1,4.23078500,0.052700,,150.00900,0.013000,,5758.00,1.18,1.03,0.136,344.3675399,20.7690958,15.4614000,5.4530900
55 Cnc b,55 Cnc,b,1,2,5,14.65160000,0.113400,,255.40000,0.000000,,5172.00,0.94,0.91,,133.1468373,28.3298154,12.5855000,5.9508400
55 Cnc c,55 Cnc,c,1,2,5,44.39890000,0.237300,,51.20000,0.030000,,5172.00,0.94,0.91,,133.1468373,28.3298154,12.5855000,5.9508400
55 Cnc d,55 Cnc,d,1,2,5,5574.20000000,5.957000,,991.60000,0.130000,,5172.00,0.94,0.91,,133.1468373,28.3298154,12.5855000,5.9508400
55 Cnc e,55 Cnc,e,1,2,5,0.73654740,0.015440,1.875,7.99000,0.050000,,5172.00,0.94,0.91,,133.1468373,28.3298154,12.5855000,5.9508400
55 Cnc f,55 Cnc,f,1,2,5,259.88000000,0.770800,,47.80000,0.080000,,5172.00,0.94,0.91,,133.1468373,28.3298154,12.5855000,5.9508400
6 Lyn b,6 Lyn,b,1,1,1,919.86000000,2.028000,,597.83523,0.042000,,4941.00,4.94,1.32,1.119,97.6960311,58.1611753,54.6599000,5.8730700
61 Vir b,61 Vir,b,1,1,3,4.21500000,0.050201,,5.10000,0.120000,,5577.00,0.96,0.94,-0.095,199.5964550,-18.3157745,8.5033200,4.6955000
61 Vir c,61 Vir,c,1,1,3,38.02100000,0.217500,,18.20000,0.140000,,5577.00,0.96,0.94,-0.095,199.5964550,-18.3157745,8.5033200,4.6955000
61 Vir d,61 Vir,d,1,1,3,123.01000000,0.476000,,22.90000,0.350000,,5577.00,0.96,0.94,-0.095,199.5964550,-18.3157745,8.5033200,4.6955000
7 CMa b,7 CMa,b,1,1,2,735.10000000,1.758000,,587.98550,0.060000,,4826.00,4.87,1.34,1.063,99.1712760,-19.2561808,19.8101000,3.9500000
7 CMa c,7 CMa,c,1,1,2,996.00000000,2.153000,,276.51210,0.080000,,4826.00,4.87,1.34,1.063,99.1712760,-19.2561808,19.8101000,3.9500000
70 Vir b,70 Vir,b,1,1,1,116.68800000,0.481000,,2357.02728,0.398800,,5495.00,1.89,1.09,,202.1064898,13.7763085,17.9011000,4.9680800
75 Cet b,75 Cet,b,1,2,2,696.62000000,1.912000,,787.89662,0.093000,,4809.00,10.38,1.92,1.714,38.0391598,-1.0350269,82.9613000,5.3532000
75 Cet c,75 Cet,c,1,2,2,2051.62000000,3.929000,,289.85951,0.023000,,4809.00,10.38,1.92,1.714,38.0391598,-1.0350269,82.9613000,5.3532000
8 UMi b,8 UMi,b,1,1,1,93.40000000,0.490000,,416.35730,0.060000,,4847.00,10.30,1.44,,224.2016850,74.9009379,162.5520000,6.8329500
81 Cet b,81 Cet,b,1,1,1,1005.57000000,2.104000,,1051.05854,0.037000,,4734.00,11.21,1.23,1.760,39.4243555,-3.3963607,101.2600000,5.6430700
91 Aqr b,91 Aqr,b,1,3,1,181.40000000,0.700000,,1017.00000,0.027000,,4665.00,11.00,1.40,,348.9745031,-9.0878076,44.0304000,4.2394600
AB Aur b,AB Aur,b,1,1,1,,93.900000,,2860.45566,0.400000,,9770.00,,2.40,1.771,73.9410446,30.5510888,162.1270000,7.0760000
AB Pic b,AB Pic,b,1,1,1,,260.000000,,4290.50000,,,,,,,94.8039208,-58.0541184,50.0475000,9.1300000
AF Lep b,AF Lep,b,1,1,1,8030.00000000,8.400000,,1017.05090,0.240000,,6130.00,1.25,1.20,,81.7699216,-11.9011752,26.8564000,6.3320000
AU Mic b,AU Mic,b,1,1,3,8.46299910,0.064500,,20.12000,0.186000,,,,0.50,,311.2911369,-31.3424500,9.7221000,8.8100000
AU Mic c,AU Mic,c,1,1,3,18.85899100,0.110100,,9.60000,,,,,0.50,,311.2911369,-31.3424500,9.7221000,8.8100000
AU Mic d,AU Mic,d,1,1,3,12.73596000,,,1.05300,0.003050,,3678.00,0.74,0.51,-1.038,311.2911369,-31.3424500,9.7221000,8.8100000
BD+03 2562 b,BD+03 2562,b,1,1,1,481.90000000,1.300000,,2034.11200,0.200000,,4095.00,32.35,1.14,2.700,177.5647268,2.7601075,1070.6300000,9.5770000
BD+14 4559 b,BD+14 4559,b,1,1,1,268.94000000,0.780000,,330.54320,0.290000,,4864.00,0.86,0.49,,318.4010002,14.6893834,49.3520000,9.7800000
BD+15 2375 b,BD+15 2375,b,1,1,1,153.22000000,0.576000,,337.21763,0.001000,,4649.00,8.95,1.08,1.570,176.4820239,14.6163182,768.0450000,10.4100000
BD+15 2940 b,BD+15 2940,b,1,1,1,137.48000000,0.539000,,352.78000,0.260000,,4796.00,14.70,1.10,2.010,240.0956400,15.5467507,426.4200000,9.0100000
BD+20 2457 b,BD+20 2457,b,1,1,2,379.63000000,1.450000,,6807.63000,0.150000,,4137.00,49.00,2.80,3.170,154.1867820,19.8912626,1539.7100000,9.7430000
BD+20 2457 c,BD+20 2457,c,1,1,2,621.99000000,2.010000,,3963.17000,0.180000,,4137.00,49.00,2.80,3.170,154.1867820,19.8912626,1539.7100000,9.7430000
BD+20 274 b,BD+20 274,b,1,1,1,578.20000000,1.300000,,1334.88600,0.210000,,4296.00,17.30,0.80,1.960,25.9203179,21.0052692,1322.5100000,9.3670000
BD+20 594 b,BD+20 594,b,1,1,1,41.68550000,,2.578,22.24810,0.000000,,5766.00,1.08,1.67,,53.6511231,20.5990205,179.4610000,10.8490000
BD+45 564 b,BD+45 564,b,1,1,1,307.88000000,0.830000,,432.24663,0.120000,,5004.00,,0.81,,32.9470485,45.9242187,53.6220000,9.6700000
BD+48 738 b,BD+48 738,b,1,1,1,392.60000000,1.000000,,289.22530,0.200000,,4414.00,11.00,0.74,1.690,40.7102869,49.5869395,871.4930000,9.1390000
BD+48 740 b,BD+48 740,b,1,1,1,733.00000000,1.700000,,540.31100,0.760000,,4534.00,10.33,1.09,1.640,40.7425426,48.9300579,666.5890000,8.6900000
BD+49 828 b,BD+49 828,b,1,1,1,2590.00000000,4.200000,,508.50000,0.350000,,4943.00,7.60,1.52,1.470,45.6406187,49.7299481,442.0420000,9.3810000
BD+55 362 b,BD+55 362,b,1,1,1,265.59000000,0.780000,,228.83645,0.270000,,5012.00,,0.91,,23.9636676,56.6982282,52.5697000,9.3800000
BD+60 1417 b,BD+60 1417,b,1,1,1,,1662.000000,14.684,4767.42610,,1303,4993.00,0.80,1.00,0.356,190.8875453,60.0143636,44.9543000,9.3740000
BD+63 1405 b,BD+63 1405,b,1,1,1,1198.48000000,2.060000,,1258.60049,0.880000,,5000.00,,0.82,,271.3979337,63.6700064,38.0473000,8.9600000
BD-06 1339 b,BD-06 1339,b,1,1,2,3.87280000,0.042800,,8.50000,0.000000,,4324.00,,0.70,-1.022,88.2511811,-5.9963378,20.2695000,9.7000000
BD-06 1339 c,BD-06 1339,c,1,1,2,125.94000000,0.435000,,53.00000,0.310000,,4324.00,,0.70,-1.022,88.2511811,-5.9963378,20.2695000,9.7000000
BD-08 2823 b,BD-08 2823,b,1,1,2,5.60000000,0.060000,,12.71320,0.150000,,4816.00,0.71,0.50,,150.1971964,-9.5165689,41.3342000,9.8600000
BD-08 2823 c,BD-08 2823,c,1,1,2,237.60000000,0.680000,,104.00000,0.190000,,4746.00,,0.74,,150.1971964,-9.5165689,41.3342000,9.8600000
BD-10 3166 b,BD-10 3166,b,1,1,1,3.48777000,0.040000,,187.51970,0.020000,,5393.00,0.91,1.47,,164.6191243,-10.7704227,84.4069000,10.0130000
BD-11 4672 b,BD-11 4672,b,1,1,2,1634.00000000,2.360000,,206.58950,0.050000,,4550.00,0.64,0.65,-0.804,278.3688659,-11.6370481,27.1665000,10.0300000
BD-11 4672 c,BD-11 4672,c,1,1,2,74.20000000,0.300000,,15.37000,0.400000,,4550.00,0.64,0.65,-0.804,278.3688659,-11.6370481,27.1665000,10.0300000
BD-13 2130 b,BD-13 2130,b,1,1,1,714.29999000,1.660000,,3108.37740,0.210000,,4545.00,19.17,2.12,,114.2884692,-13.9066703,925.2140000,10.0380000
BD-14 3065 b,BD-14 3065 A,b,1,3,1,4.28897310,0.065600,21.590,3932.00000,0.066000,2001,6935.00,2.35,1.41,1.060,153.6696689,-15.6428372,589.4230000,11.1000000
BD-17 63 b,BD-17 63,b,1,1,1,655.57000000,,,1639.99458,0.543900,,,,0.74,,7.1413494,-16.2273254,34.4603000,9.6200000
BD-210397 b,BD-210397,b,1,1,2,1891.00000000,2.630000,,214.00000,0.100000,,4051.00,0.75,0.68,-0.870,33.3024198,-21.1962147,23.7324000,9.8400000
BD-210397 c,BD-210397,c,1,1,2,6240.00000000,5.900000,,1525.57635,0.430000,,,,0.69,,33.3024198,-21.1962147,23.7324000,9.8400000
CD Cet b,CD Cet,b,1,1,1,2.29070000,0.018500,,3.95000,,464,3130.00,0.17,0.16,-2.533,48.3530155,4.7751881,8.6071500,13.9500000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,b,1,1,1,10037.50000000,2.600000,,3337.10000,,370,580.50,,0.02,,224.6208333,10.2286111,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,b,1,1,1,8040000.00000000,200.000000,20.849,2479.06157,,1800,2320.00,0.24,0.01,-2.850,246.9342770,-23.9811500,,
CHXR 73 b,CHXR 73,b,1,1,1,,210.000000,,3994.48600,,,,,0.35,,166.6193985,-77.6258725,190.3740000,
CI Tau c,CI Tau,c,1,1,1,25.20000000,0.170000,,1144.18227,0.580000,,,,,,68.4667685,22.8416192,157.9980000,13.6420000
COCONUTS-2 b,COCONUTS-2 A,b,1,1,1,402000000.00000000,7506.000000,12.442,2002.31896,,434,3406.00,0.39,0.37,-1.732,117.3009140,-76.7026960,10.8864000,11.2980000
CT Cha b,CT Cha,b,1,1,1,,440.000000,24.660,5403.00000,,2600,,,,,166.0375038,-76.4553693,190.7200000,12.3350000
CoRoT-1 b,CoRoT-1,b,1,1,1,1.50895570,,16.700,327.35000,0.000000,1898,5950.00,1.11,0.95,,102.0798591,-3.1021394,787.9090000,13.6230000
CoRoT-10 b,CoRoT-10,b,1,1,1,13.24060000,0.105500,10.870,874.00000,0.530000,600,5075.00,0.79,0.89,,291.0636813,0.7460143,338.3860000,15.2930000
CoRoT-11 b,CoRoT-11,b,1,1,1,2.99433000,0.043600,16.030,740.51000,0.000000,1657,6440.00,1.37,1.27,,280.6872998,5.9376586,655.0370000,12.8970000
CoRoT-12 b,CoRoT-12,b,1,1,1,2.82804200,0.040160,16.140,291.43800,0.070000,1442,5675.00,1.12,1.08,,100.7656871,-1.2964437,1126.3700000,15.5880000
CoRoT-13 b,CoRoT-13,b,1,1,1,4.03519000,0.051000,9.920,415.70400,0.000000,1700,5945.00,1.01,1.09,,102.7211432,-5.0864557,1148.9300000,15.0050000
CoRoT-14 b,CoRoT-14,b,1,1,1,1.51214000,0.027000,12.220,2415.40000,0.000000,1952,6035.00,1.21,1.13,,103.4242023,-5.5360385,1744.6000000,15.9320000
CoRoT-16 b,CoRoT-16,b,1,1,1,5.35227000,0.061800,13.110,170.03200,0.330000,,5650.00,1.19,1.10,,278.5246658,-6.0026026,732.4090000,16.0520000
CoRoT-17 b,CoRoT-17,b,1,1,1,3.76810000,0.046100,11.430,772.29000,0.000000,1626,5740.00,1.59,1.04,,278.6992360,-6.6122880,1176.1200000,16.2900000
CoRoT-18 b,CoRoT-18,b,1,1,1,1.90006930,0.029500,14.680,1102.82000,0.080000,1550,5440.00,1.00,0.95,,98.1724172,-0.0316045,764.8890000,14.8680000
CoRoT-19 b,CoRoT-19,b,1,1,1,3.89713000,0.051800,14.460,352.78000,0.047000,2000,6090.00,1.65,1.21,0.544,97.0335983,-0.1707293,790.6630000,14.1350000
CoRoT-2 b,CoRoT-2,b,1,2,1,1.74299350,0.027980,16.432,1102.82000,0.014300,,5625.00,0.91,0.96,,291.7770457,1.3836634,213.2830000,12.5160000
CoRoT-20 b,CoRoT-20,b,1,1,2,9.24285000,0.090000,,1366.66900,0.590000,,,,1.14,,97.7204249,0.2268931,844.0610000,14.6300000
CoRoT-20 c,CoRoT-20,c,1,1,2,1675.00000000,2.900000,,5403.11000,0.600000,,,,1.14,,97.7204249,0.2268931,844.0610000,14.6300000
CoRoT-21 b,CoRoT-21,b,1,1,1,2.72474000,0.041700,14.572,718.29580,0.000000,,6200.00,1.95,1.29,,101.0526207,-0.2991544,,16.0580000
CoRoT-22 b,CoRoT-22,b,1,1,1,9.75598000,0.092000,4.880,12.20000,0.077000,885,5939.00,1.14,1.10,,280.6671392,6.2191669,627.1580000,13.8200000
CoRoT-23 b,CoRoT-23,b,1,1,1,3.63130000,0.048000,11.770,889.90000,0.160000,1660,5900.00,1.61,1.14,,279.7826586,4.3577516,1060.9700000,15.6750000
CoRoT-24 b,CoRoT-24,b,1,1,2,5.11340000,0.056000,3.700,5.70000,0.000000,1070,4950.00,0.86,0.91,,101.9225430,-3.7192892,591.5550000,15.3830000
CoRoT-24 c,CoRoT-24,c,1,1,2,11.75900000,0.098000,5.000,28.00000,0.000000,850,4950.00,0.86,0.91,,101.9225430,-3.7192892,591.5550000,15.3830000
CoRoT-25 b,CoRoT-25,b,1,1,1,4.86069000,0.057800,12.110,85.81000,0.000000,1330,6040.00,1.19,1.09,,280.6296561,6.5138223,1103.4800000,14.7900000
CoRoT-26 b,CoRoT-26,b,1,1,1,4.20474000,0.052600,14.120,165.26000,0.000000,1600,5590.00,1.79,1.09,,279.7504991,6.9697828,1045.1800000,15.8610000
CoRoT-27 b,CoRoT-27,b,1,1,1,3.57532000,0.047600,11.287,3302.11000,0.065000,1500,5900.00,1.08,1.05,,278.4958319,5.5383811,1010.2800000,15.7740000
CoRoT-28 b,CoRoT-28,b,1,1,1,5.20851000,0.060300,10.705,153.82972,0.047000,,5150.00,1.78,1.01,,278.6883216,5.5736911,766.1830000,13.7830000
CoRoT-29 b,CoRoT-29,b,1,1,1,2.85057000,0.038600,10.088,270.15550,0.082000,,5260.00,0.90,0.97,,278.9020691,6.4795703,806.5070000,15.4080000
CoRoT-3 b,CoRoT-3,b,1,1,1,4.25680000,,11.320,6883.91000,0.000000,,6740.00,1.56,1.37,,292.0552827,0.1218359,768.7710000,13.4480000
CoRoT-30 b,CoRoT-30,b,1,1,1,9.06005000,0.084400,11.310,921.70700,0.007000,,5650.00,0.91,0.98,,277.6011767,6.8359338,1032.2300000,15.5710000
CoRoT-31 b,CoRoT-31,b,1,1,1,4.62941000,0.058600,16.365,266.97720,0.020000,,5700.00,2.15,1.25,,94.8207350,-4.4222978,2005.7600000,15.4790000
CoRoT-35 b,CoRoT-35,b,1,1,1,3.22748000,0.042900,18.831,349.61125,0.000000,1747,6390.00,1.65,1.01,,289.3143526,-2.7747085,1123.2100000,15.6350000
CoRoT-36 b,CoRoT-36,b,1,1,1,5.61653100,0.066000,15.805,216.12332,0.000000,1567,6730.00,1.52,1.32,,277.7510149,7.1833465,925.9580000,13.1260000
CoRoT-4 b,CoRoT-4,b,1,1,1,9.20205000,0.090000,13.340,228.83000,0.000000,1074,6190.00,1.17,1.16,,102.1946233,-0.6727861,726.4120000,13.6520000
CoRoT-5 b,CoRoT-5,b,1,1,1,4.03789620,0.049470,15.558,148.42000,0.090000,1438,6100.00,1.19,1.00,,101.2772396,0.8152163,882.4720000,14.0430000
CoRoT-6 b,CoRoT-6,b,1,1,1,8.88659300,0.085500,13.068,940.74000,0.100000,1017,6090.00,1.02,1.05,,281.0725563,6.6632062,645.2940000,13.9610000
CoRoT-7 b,CoRoT-7,b,1,1,3,0.85359163,,1.681,4.07661,0.000000,,5275.00,0.83,0.82,,100.9561682,-1.0630076,159.9060000,11.7280000
CoRoT-7 c,CoRoT-7,c,1,1,3,3.69800000,0.046000,,8.40000,0.000000,,5256.00,0.86,0.90,-0.289,100.9561682,-1.0630076,159.9060000,11.7280000
CoRoT-7 d,CoRoT-7,d,1,1,3,8.96600000,,,17.14200,,,5250.00,,0.92,,100.9561682,-1.0630076,159.9060000,11.7280000
CoRoT-8 b,CoRoT-8,b,1,1,1,6.21229000,0.063000,6.390,69.92000,0.000000,,5080.00,0.77,0.88,,291.5885696,1.4262972,322.0370000,14.7920000
CoRoT-9 b,CoRoT-9,b,1,2,1,95.27265600,0.402100,11.949,266.97720,0.133000,420,5625.00,0.96,0.96,,280.7866461,6.2040783,412.9800000,13.6370000
CoRoTID 223977153 b,CoRoTID 223977153,b,1,1,1,6.71837000,0.071000,6.389,47.67450,,938,5970.00,0.79,1.08,-0.155,100.1951714,9.2573953,576.6830000,13.6260000
DE CVn b,DE CVn,b,1,2,1,4098.10000000,5.750000,,3823.27330,0.000000,,,,0.51,,201.7207198,45.5455449,30.5225000,12.9560000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,b,1,1,1,246.36000000,0.360000,,9057.77000,0.345000,,,,0.07,,125.7620668,-49.2003008,,
DH Tau b,DH Tau,b,1,1,1,,330.000000,,3496.00000,,,,0.27,0.33,,67.4231674,26.5493897,134.8460000,13.9800000
DMPP-1 b,DMPP-1,b,1,1,4,18.57000000,0.146200,,24.27000,0.083000,877,6196.00,1.26,1.21,,86.7761233,-10.6303217,62.5388000,7.9800000
DMPP-1 c,DMPP-1,c,1,1,4,6.58400000,0.073300,,9.60000,0.057000,1239,6196.00,1.26,1.21,,86.7761233,-10.6303217,62.5388000,7.9800000
DMPP-1 d,DMPP-1,d,1,1,4,2.88200000,0.042200,,3.35000,0.070000,1632,6196.00,1.26,1.21,,86.7761233,-10.6303217,62.5388000,7.9800000
DMPP-1 e,DMPP-1,e,1,1,4,5.51600000,0.065100,,4.13000,0.070000,1314,6196.00,1.26,1.21,,86.7761233,-10.6303217,62.5388000,7.9800000
DMPP-2 b,DMPP-2,b,1,1,1,5.20720000,0.066400,,138.89171,0.078000,1000,6500.00,1.78,1.44,0.104,27.4077310,-34.4590985,137.9400000,8.5700000
DMPP-3 A b,DMPP-3 A,b,1,2,1,6.67320000,0.066200,,2.58000,0.140000,854,5138.00,0.91,0.87,,91.6243820,-72.5126648,45.2300000,
DMPP-4 b,DMPP-4,b,1,1,1,3.49820000,0.048530,,12.20000,0.063000,,6400.00,1.38,1.25,0.459,293.5826648,51.2358069,25.3284000,5.7293600
DP Leo b,DP Leo,b,1,2,1,10220.00000000,8.190000,,1922.79000,0.390000,,,,0.69,,169.3162193,17.9615717,305.6840000,18.6837000
DS Tuc A b,DS Tuc A,b,1,2,1,8.13826800,,5.700,,0.000000,850,5428.00,0.96,1.01,-0.140,354.9154673,-69.1960430,44.0622000,8.1700000
EPIC 201170410.02,EPIC 201170410,b,1,1,1,6.79870000,0.034900,1.047,,0.000000,,3648.00,0.28,0.29,,170.1408561,-4.8070039,,17.6984000
EPIC 201238110 b,EPIC 201238110,b,1,1,1,28.16560000,,1.870,,,,,,0.41,,179.7058532,-3.3894613,159.2590000,16.0140000
EPIC 201427007 b,EPIC 201427007,b,1,1,1,0.72091000,,1.500,,,,5633.00,0.94,,,184.6021322,-0.5512886,706.3910000,14.3210000
EPIC 201497682 b,EPIC 201497682,b,1,1,1,2.13174000,,0.692,,,,,,0.78,,168.9366786,0.4880606,253.0260000,13.9480000
EPIC 201595106 b,EPIC 201595106,b,1,1,1,0.87721400,,1.300,,,,5820.00,0.93,,,183.7203635,1.9681688,232.1000000,11.7460000
EPIC 201615463 c,K2-166,c,1,1,2,3.80464000,,1.220,,,,,,1.07,,185.1880932,2.2823788,476.8820000,12.0810000
EPIC 201754305 d,K2-16,d,1,1,3,2.71578000,,1.030,,,,,,0.67,,175.0972238,4.5574311,334.9670000,14.6680000
EPIC 201757695.02,EPIC 201757695,b,1,1,1,2.04780000,0.029600,0.908,,0.000000,,4520.00,0.66,0.73,-0.364,173.9385102,4.6164303,,14.9740000
